part,time,area,code,hint
6,3138,潘瑟罗村,HEART_PANSELO_1,"你的家乡…就在某个高处…"
9,894,潘瑟罗村,HEART_PANSELO_2,"你的家乡…去你朋友的房间找找吧…"
1,5742,阿努利寺院,HEART_ANURI_1,"在阿努利的古老寺院中…关闭的门扉的另一侧…"
16,1233,向日葵大道,HEART_FLOWER_1,"大大的花朵…居民的东侧道路…叶子上…"
4,4660,南卡斯特拉大桥,HEART_ATELO_1,"从西往东的已毁之桥下…就在水边…"
3,2126,亚泰,HEART_ATAI_6,"在制作炸弹的男人家附近…有两个洞窟…去更暗的那个寻找…"
22,1703,阿达尔的家,HEART_EX_VAULT,"制作炸弹的男人家中…隐藏着秘密…"
16,4763,亚泰镇,HEART_ATAI_5,"在活力十足的沙漠城镇…有个闲得无聊的囚犯…去听他怎么说吧…"
18,6191,亚泰镇,HEART_ATAI_1,"在活力十足的沙漠城镇…隐藏在悬挂卷轴后的门…去那里寻找吧…"
16,5045,亚泰镇,HEART_ATAI_2,"在活力十足的沙漠城镇…装备店的上方…仿佛迷宫般的地方…"
12,4849,亚泰镇,HEART_ATAI_4,"在活力十足的沙漠城镇…安慰沮丧镇长的老人…去帮助他吧…"
6,6093,亚泰镇,HEART_ATAI_3,"在活力十足的沙漠城镇…射击目标，赢取奖品吧…"
17,1145,流沙荒漠,HEART_BANDIT_1,"在沙暴肆虐之地的…南边…寻找有印记的树木吧…"
17,2872,流沙荒漠,HEART_OGEO_1,"在沙暴肆虐之地…西边的遗迹…去寻找那…喧嚣的风声吧…"
7,4038,流沙古迹,HEART_BANDIT_2,"在盗贼的巢穴…有着被忘却的高塔…就去那里寻找吧…"
4,2018,衔尾蛇据点,HEART_BANDIT_3,"到盗贼的巢穴…有个橙色头发的少女…去救她吧…"
7,3181,衔尾蛇据点,HEART_BANDIT_4,"在盗贼的巢穴…有个喜爱毁坏箱子的男人…去通过他的试炼吧…"
5,2825,古董商,HEART_ASTRID_1,"在古董商家的下方…隐藏着宝物…"
21,6217,古董商,HEART_ASTRID_2,"有个古董商…去帮帮他吧…"
18,5720,GEO总部,HEART_GEO_1,"有个快乐的冒险家…去把票券交给前台小妹吧…"
20,1106,GEO总部,HEART_GEO_2,"有个快乐的冒险家…去寻找会长祖先留下的遗物吧…"
