part,time,area,code,hint
16,955,潘瑟罗,MOON_FIELD_1,"从你的家乡出发向东北前进…在树丛里好好找找…"
16,1080,潘瑟罗,MOON_FIELD_2,"从你的家乡出发向西北前进…在篱笆弯曲的地方有宝物…"
16,1028,潘瑟罗,MOON_MAP_2,"大大的花朵附近…似乎有很大只的蜜蜂在飞…"
12,326,多奇森林,MOON_DOKI_1,"在长着带刺果实的森林中…有着藏宝的洞窟…"
12,685,阿努利寺院,MOON_ANURI_4,"阿努利的古老寺院…不在里面，在外面…"
6,5210,阿努利寺院,MOON_ANURI_3,"在阿努利的古老寺院中…在王座向上攀登…有一扇紧闭已久的门…"
1,6113,阿努利寺院,MOON_ANURI_2,"在阿努利的古老寺院中…水面上有桥的地方…在那里往上找吧…"
1,4941,阿努利寺院,MOON_ANURI_6,"在阿努利的古老寺院中…有个放着很多壶的房间…其中一个壶里隐藏着秘密…"
6,4976,阿努利寺院,MOON_FISH_3,"第一次遇到搭档的地方…水中…有着会发光的鱼…"
12,1723,阿努利寺院,MOON_ANURI_1,"在阿努利的古老寺院中…"
6,5556,向日葵大道,MOON_FLOWER_1,"大大的花朵…居民东侧的道路…叶子上…"
6,5827,向日葵大道,MOON_FLOWER_2,"大大的花朵…居民西侧的道路…叶子上…"
3,3059,南卡斯特拉大桥,MOON_ATELO_1,"从西往东的已毁之桥下…就藏在两块板中间…"
17,321,南卡斯特拉大桥,MOON_ATELO_3,"奥拉克,从西往东的已毁之桥…试着向上攀登吧…"
17,440,南卡斯特拉大桥,MOON_ATELO_2,"从西往东的已毁之桥下…不要害怕高处，勇敢往下跳吧…"
17,552,南卡斯特拉大桥,MOON_ATELO_4,"从西往东的已毁之桥…去西边的塔里找找吧…"
16,3549,罗达斯边检站,MOON_RHODUS_1,"两个王国接壤之处…去缠住监视塔的士兵…"
16,3573,罗达斯边检站,MOON_RHODUS_2,"两个王国接壤之处…在监视塔的士兵面前…飞起来吧…"
17,672,芙兰之门：亚泰,MOON_FISH_2,"在充满活力的沙漠小镇…传送器的附近…有着会发光的鱼…"
16,5665,亚泰镇,MOON_ATAI_2,"在充满活力的沙漠小镇…寻找那不发光的塔吧…"
17,857,亚泰镇,MOON_ATAI_9,"在充满活力的沙漠小镇…你熟知的囚犯正在找某样东西…"
2,2767,亚泰镇,MOON_ATAI_4,"在充满活力的沙漠小镇…照顾着孩子们的少女…宝物就在她的头上…"
11,3924,亚泰镇,MOON_ATAI_5,"在充满活力的沙漠小镇…照顾着孩子们的少女…宝物就在她的头上…"
16,5133,亚泰镇,MOON_ATAI_6,"在充满活力的沙漠小镇…装备店之上…复杂道路通往之处…"
12,4202,亚泰镇,MOON_ATAI_1,"在充满活力的沙漠小镇…镇长家的仓库中…宝物就藏在那里…"
2,1009,亚泰镇,MOON_ATAI_3,"在充满活力的沙漠小镇…寻找有壶的阳台吧…"
6,6214,亚泰镇,MOON_ATAI_8,"在充满活力的沙漠小镇…射击目标，赢取奖品吧…"
8,2689,亚泰镇,MOON_ATAI_7,"在充满活力的沙漠小镇下方…寻找黑暗中不再工作的列车…要小心食尸鬼…"
6,6770,流沙荒漠,MOON_ACCESS_1,"在绿洲与沙暴交接之处…有块隐藏着宝物的巨大岩石…"
17,1384,流沙荒漠,MOON_MAP_1,"在沙暴肆虐之地…地上倒着枯萎的植物…要注意会发光的东西…"
17,1520,流沙古迹,MOON_BANDIT_1,"在伫立着塑像，满是沙子的寺院外…黑鸟聚集的地方…穿过沙子，就能听到声音…"
17,1584,风化遗迹,MOON_BANDIT_4,"在伫立着塑像，满是沙子的寺院…在大台阶东边的墙壁…寻找有没有裂缝吧…"
17,2201,风化遗迹,MOON_BANDIT_3,"在伫立着塑像，满是沙子的寺院…上了锁的门后…巨龙捕食者能帮助你…"
8,1977,风化遗迹,MOON_BANDIT_2,"在伫立着塑像，满是沙子的寺院…有个平静的湖…不要害怕深深的湖水…"
7,3363,衔尾蛇据点,MOON_BANDIT_5,"在盗贼的巢穴…水中的祭坛之下…宝物在沉睡…"
7,3583,衔尾蛇据点,MOON_BANDIT_6,"奥拉克,在盗贼的巢穴…有被旋律石所保护的房间…祭坛中隐藏着秘密…"
8,1646,衔尾蛇据点,MOON_BANDIT_7,"在盗贼的巢穴…试着登上高塔吧…就在那里的宝箱之中…"
2,5968,月光溪谷,MOON_RAVINE_4,"在美丽的溪谷…南边的栈桥…有个希望被注意到的男人…"
4,5323,月光溪谷,MOON_RAVINE_1,"在美丽的溪谷…有三个并排的壶…宝物就在其中的一个里…"
8,4001,月光溪谷,MOON_RAVINE_2,"在美丽的溪谷…在试探爱情的年轻人所在之处…试着在上面找找吧…"
16,2638,月光溪谷,MOON_RAVINE_3,"在美丽的溪谷…被巨大的岩石所阻碍…宝物就在它的内侧…"
18,5983,月光溪谷,MOON_FISH_4,"在美丽的溪谷…北边的栈桥下…有着会发光的鱼…"
17,3120,王国大桥,MOON_FISH_1,"从北往南的已毁之桥…在水中…有发光的鱼…"
17,3228,王国大桥,MOON_DAETAI_1,"从北往南的已毁之桥…高处有颗旋律石…秘密隐藏在从西往东的已毁之桥处…"
16,4211,王国大桥,MOON_DAETAI_2,"从北往南的已毁之桥…每个高处分别有一个壶…其中一个壶里藏着宝物…"
9,7215,蒂亚,MOON_MAP_3,"在古董商的西边…彷徨的不法之徒…其中一人身上带着宝物…"
21,6378,GEO总部,MOON_FISH_6,"有个开心的冒险家…而在那水边附近…也有会发光的鱼…"
17,3357,托马斯实验室,MOON_THOMAS_2,"在高个子科学家的研究所…有个想要蓝色徽章的助手…"
17,3520,托马斯实验室,MOON_THOMAS_1,"在高个子科学家的研究所…有个想要红色徽章的助手…"
19,751,蒂亚市,MOON_DAEA_TOWN_5,"在大城市…有个爱说往事的老婆婆…去听她好好说说吧…"
5,7037,蒂亚市,MOON_DAEA_TOWN_1,"在大城市…某个小巷子里有个壶…宝物就在壶中…"
5,6938,蒂亚市,MOON_DAEA_TOWN_2,"在大城市…有很多很多风车…宝物就藏在其中一个风车里…"
16,2077,蒂亚市,MOON_DAEA_TOWN_3,"在大城市…有个男人正在寻找弟子…那是个追求力量的少年…在吃饭的地方附近找找吧…"
16,1518,蒂亚市,MOON_DAEA_TOWN_6,"在大城市…有个热情十足的厨师长…去帮助他吧…"
5,1333,蒂亚市,MOON_DAEA_TOWN_4,"在大城市…有个想要得到感动的女性…去满足她吧…"
14,6096,地下水路,MOON_DAEA_SEWS_1,"在大城市的地下水路…漂浮着许多木箱…其中一个木箱里就藏着宝物…"
6,1669,地下水路,MOON_DAEA_SEWS_2,"在大城市的地下水路…有着滑溜溜的怪物…去打倒它吧…"
6,1917,地下水路,MOON_DAEA_SEWS_3,"在大城市的地下水路…有着伸手无法触及的宝物…先到更高的地方去吧…"
6,2104,地下监牢,MOON_JAIL_2,"在城堡高塔的地下监牢…将那放有锅炉的房间…仔细找一遍吧…"
7,7797,地下监牢,MOON_JAIL_1,"在城堡高塔的地下监牢…安置着电脑的地方…去解开谜题吧…"
18,691,地下监牢,MOON_JAIL_3,"在城堡高塔的地下监牢…前往Ｂ区的途中…从下往上看吧…"
8,368,地下监牢,MOON_JAIL_4,"城堡高塔的地下监牢…Ａ区有个橙色头发的少女…去帮帮她吧…"
8,5393,白色高塔,MOON_TOWER_1,"在城堡的高塔…在熔炉附近寻找壶吧…"
18,1577,白色高塔,MOON_TOWER_4,"在城堡的高塔…寻找吊灯吧…吊灯在窗帘的后面…"
18,1884,白色高塔,MOON_TOWER_2,"在城堡的高塔…去西边的阳台寻找吧…"
13,2220,白色高塔,MOON_TOWER_3,"在城堡的高塔…就在一个奇妙的生物身上…抓住它并不是件易事…"
18,2390,白色高塔,MOON_TOWER_5,"在城堡的高塔…试着登上最高处吧…"
18,2849,地底隧道,MOON_SUBTERRA_1,"在大城市的地下…有一条水路…到那深处去…在水没那么深的地方好好找找…"
14,3346,地底隧道,MOON_SUBTERRA_3,"在大城市的地下…有一条水路…到那深处去…在水没那么深的地方好好找找…"
14,3732,地底隧道,MOON_SUBTERRA_2,"在大城市的地下…有一条水路…到那深处去…在第二个开关旁边的房间里找找…"
18,3362,地底隧道,MOON_FISH_5,"大城市的地下…有条水路…到那深处去…有个能钓到鱼的地方…"
17,4471,麦田大道,MOON_WHEAT_1,"在闪耀着黄金光辉的街道西侧…有个被丢弃的箱子…"
9,3176,麦田大道,MOON_WHEAT_2,"在闪耀着黄金光辉的街道西侧…某个筒仓的顶部…可以找到箱子…"
17,5019,珂赛特,MOON_MAP_4,"黄金田地的南边…有被洗脑的士兵在徘徊…其中一人身上带着宝物…"
17,6125,珂赛特村,MOON_BARN_1,"在人与机械共存之地…有个担心妹妹的男孩子…"
13,3431,珂赛特村,MOON_BARN_4,"在人与机械共存之地…有只想吃零食的狗…"
17,5863,珂赛特村,MOON_BARN_2,"在人与机械共存之地…有个昏暗的无人房间…"
18,3689,芙兰之门：珂赛特,MOON_BARN_3,"在人与机械共存之地…安置传送器的房间…外面的风见鸡上…"
10,2520,国王之塔,MOON_PILLAR_1,"在人与机械共存之地…登上南边的风车塔…然后向下看吧…"
10,2992,边远海滩,MOON_BEACH_1,"在人与机械共存之地…平静的波浪附近…有个洞窟…你要找的东西就在那里面…"
18,4093,皇家档案馆,MOON_ROYARC_2,"在隐藏的知识宝库…下了列车之后…向上前进吧…"
10,5761,皇家档案馆,MOON_ROYARC_1,"在隐藏的知识宝库…去旋律石附近找找吧…"
10,4261,皇家档案馆,MOON_ROYARC_3,"在隐藏的知识宝库…不会开炮的坦克机器人会指明墙壁中隐藏的房间的所在。"
6,2606,最初高墙,MOON_WALL_S_2,"在充满活力的高墙之下…士兵睡觉的地方…隐藏的宝箱就在那里…"
19,895,最初高墙,MOON_WALL_S_1,"在充满活力的高墙之下…要是母女差点就擦肩而过的话…就去帮帮她们吧…"
17,6682,高墙之间,MOON_MAP_5,"高墙与高墙之间…有被洗脑的士兵在徘徊…无人机身上藏有宝物…"
14,5464,最终高墙,MOON_WALL_N_1,"在充满悲伤的高墙之下…有些想要交易的科学家…和他们讲讲价吧…"
19,1004,最终高墙,MOON_WALL_N_2,"在充满悲伤的高墙之下…宝物就在高处…"
19,1097,最终高墙外,MOON_MAP_6,"在铁与火的死亡领域…有只食尸鬼在徘徊…在其内侧就藏有宝物…"
19,1650,焦土地带,MOON_SCORCH_1,"在铁与火的死亡领域…到２层去寻找吧…,"
19,2510,焦土地带,MOON_SCORCH_2,"在铁与火的死亡领域…宝物就在密室之中…炮塔能为你开路…"
13,7374,焦土地带,MOON_SCORCH_3,"在铁与火的死亡领域…有只在黑暗中独步的食尸鬼…在那里往上走吧…"
14,2321,焦土地带,MOON_SCORCH_4,"在铁与火的死亡领域…食尸鬼所走的，幽暗弯曲之路…要找的东西就在那最深处…"
14,1526,缪尔洞窟,MOON_MUL_1,"在群虫肆虐的洞窟中…虫巢的下方…有隐藏的房间…"
15,1353,缪尔洞窟,MOON_MUL_3,"在群虫肆虐的洞窟中…绿宝石在闪闪发光…虫子也许会帮助你…"
