part,time,area,code,hint
17,149,潘瑟罗,OXY_FOREST_1,"从你的家乡向南走…有个隐藏的钓鱼点…"
1,5066,阿努利寺院,OXY_ANURI_1,"阿努利的古老寺院中…王座之下，坟墓之上…隐藏着宝藏…"
2,550,向日葵大道,OXY_FLOWER_1,"大大的花朵…居民的西侧道路…被蜜蜂所守护…"
3,4120,南卡斯特拉大桥,OXY_ATELO_1,"从西往东的已毁之桥下…就在岩石下…"
2,5107,阿达尔的家,OXY_ADAR_1,"制作炸弹的男人家背后…有个洞窟…"
22,1725,阿达尔的家,OXY_EX_VAULT,"制作炸弹的男人家…隐藏着秘密…"
12,5919,绿洲,OXY_FISH_1,"从沙漠小镇向西南方前进…有个绿洲…那里有会发光的鱼…"
3,5905,流沙古迹,OXY_BANDIT_1,"在沙暴肆虐之地…被遗忘的高塔的顶端…宝物就在那里…"
4,585,衔尾蛇据点,OXY_BANDIT_2,"在盗贼的巢穴…有个喜欢摧毁箱子的男人…去通过他的试炼吧…"
16,2421,月光溪谷,OXY_RAVINE_1,"在美丽的溪谷…就在河流的深处…"
12,7054,蒂亚,OXY_DAEA_4,"在大城市的西南方向…有个昏暗的洞窟…"
11,2013,古董商,OXY_ASTRID_1,"有个古董商…去帮助她吧…"
14,6040,GEO总部,OXY_GEO_1,"有个开心的冒险家…把票券交给接待的小妹吧…"
9,3291,湖畔实验室,OXY_FRAN_1,"有个矮个子的科学家…给她月光石吧"
5,3948,托马斯实验室,OXY_THOMAS_1,"在高个子科学家的研究所…被旋律石所保护着…"
5,2370,蒂亚市,OXY_DAEA_3,"在大城市的入口…有个深受鸟儿喜爱的女人…想要见识传说…"
11,5489,蒂亚市,OXY_DAEA_1,"在大城市的图书馆…被旋律石所保护着…"
15,430,蒂亚市,OXY_DAEA_2,"在大城市的射击场…射击目标，赢取奖品吧…"
18,786,地下监牢,OXY_JAIL_1,"在城堡高塔的地下监牢…宝物就在那里…Ｂ-３３…"
13,3043,白色高塔,OXY_TOWER_1,"在城堡高塔的顶上…就在那里的小房间里…"
9,7739,芙兰之门：珂赛特,OXY_BARN_1,"在人与机械共存之地…安装传送器的房子…去那上面找找吧…"
10,5404,皇家档案馆,OXY_ROYARC_1,"在隐藏的知识宝库…只属于强者的宝物…被无数利刃所保护着…"
16,3313,最初高墙,OXY_WALL_1,"在充满活力的高墙之下…去将军的办公室找找吧…"
17,7323,高墙之间,OXY_BO_RACE,"墙与墙的间隔之中…通过奔跑之人的试炼吧…"
13,5434,最终高墙外,OXY_WALL_2,"在充满悲伤的高墙之下…将军正在寻找失踪之人…"
20,172,最终高墙外,OXY_AGEO_1,"探险家们曾经聚集的荒凉之地…书本将讲述故事…绘画将指明道路…"
19,2176,焦土地带,OXY_SCORCH_1,"在铁与火的死亡领域…宝物被炮塔所保护…向上攀登吧…"
19,3098,缪尔洞窟,OXY_MUL_1,"在群虫肆虐的洞窟中…从殖民地的粮仓向下，然后向西前进…"
19,3587,缪尔洞窟,OXY_MUL_3,"在群虫肆虐的洞窟中…沙子里隐藏着房间…巨龙捕食者将是解谜的关键…"
19,6510,禁忌之地,OXY_MUL_2,"在铁质大球体的西边…有着虫群的巢穴…那里可以通往隐藏着宝物的洞窟…"
16,6607,特拉鲁姆,OXY_TERRA_1,"在生有翅膀的种族与绿色巨人的村子…寻找肯与你做交易的对象…"
20,4763,普利斯汀城,OXY_PLANTO_1,"有个种花之人…似乎正缺乏素材…去帮助他吧…"
20,4629,普利斯汀城,OXY_PRISTINE_1,"在钢铁的蓝色都市中…有个正在寻找七只兔子的人…"
